Experiment,experiment_1
1.8500,538.305986
1.8600,444.037220
1.8700,360.750041
1.8800,288.899161
1.8900,228.254703
1.9000,178.086331
1.9100,137.342272
1.9200,104.805950
1.9300,79.220780
1.9400,59.380443
1.9500,44.186846
1.9600,32.680926
1.9700,24.052736
1.9800,17.637165
1.9900,12.900870
2.0000,9.424778
2.0100,6.885306
2.0200,5.036322
2.0300,3.692987
2.0400,2.717990
2.0500,2.010246
2.0600,1.495887
2.0700,1.121252
2.0800,0.847532
2.0900,0.646752
2.1000,0.498783
2.1100,0.389155
2.1200,0.307465
2.1300,0.246227
2.1400,0.200043
2.1500,0.165011
2.1600,0.138305
2.1700,0.117868
2.1800,0.102203
2.1900,0.090217
2.2000,0.081111
2.2100,0.074305
2.2200,0.069384
2.2300,0.066057
2.2400,0.064133
2.2500,0.063504
2.2600,0.064133
2.2700,0.066057
2.2800,0.069384
2.2900,0.074305
2.3000,0.081111
2.3100,0.090217
2.3200,0.102203
2.3300,0.117868
2.3400,0.138305
2.3500,0.165011
2.3600,0.200043
2.3700,0.246227
2.3800,0.307465
2.3900,0.389155
2.4000,0.498783
2.4100,0.646752
2.4200,0.847532
2.4300,1.121252
2.4400,1.495887
2.4500,2.010246
2.4600,2.717990
2.4700,3.692987
2.4800,5.036322
2.4900,6.885306
2.5000,9.424778
2.5100,12.900870
2.5200,17.637165
2.5300,24.052736
2.5400,32.680926
2.5500,44.186846
2.5600,59.380443
2.5700,79.220780
2.5800,104.805950
2.5900,137.342272
2.6000,178.086331
2.6100,228.254703
2.6200,288.899161
2.6300,360.750041
2.6400,444.037220
2.6500,538.305986
2.6600,642.252676
2.6700,753.610439
2.6800,869.116725
2.6900,984.589304
2.7000,1095.126057
2.7100,1195.426112
2.7200,1280.208748
2.7300,1344.685830
2.7400,1385.028252
2.7500,1398.761071
2.7600,1385.028252
2.7700,1344.685830
2.7800,1280.208748
2.7900,1195.426112
2.8000,1095.126057
2.8100,984.589304
2.8200,869.116725
2.8300,753.610439
2.8400,642.252676
2.8500,538.305986
2.8600,444.037220
2.8700,360.750041
2.8800,288.899161
2.8900,228.254703
2.9000,178.086331
2.9100,137.342272
2.9200,104.805950
2.9300,79.220780
2.9400,59.380443
2.9500,44.186846
2.9600,32.680926
2.9700,24.052736
2.9800,17.637165
2.9900,12.900870
3.0000,9.424778
3.0100,6.885306
3.0200,5.036322
3.0300,3.692987
3.0400,2.717990
3.0500,2.010246
3.0600,1.495887
3.0700,1.121252
3.0800,0.847532
3.0900,0.646752
3.1000,0.498783
3.1100,0.389155
3.1200,0.307465
3.1300,0.246227
3.1400,0.200043
3.1500,0.165011
3.1600,0.138305
3.1700,0.117868
3.1800,0.102203
3.1900,0.090217
3.2000,0.081111
3.2100,0.074305
3.2200,0.069384
3.2300,0.066057
3.2400,0.064133
3.2500,0.063504
3.2600,0.064133
3.2700,0.066057
3.2800,0.069384
3.2900,0.074305
3.3000,0.081111
3.3100,0.090217
3.3200,0.102203
3.3300,0.117868
3.3400,0.138305
3.3500,0.165011
3.3600,0.200043
3.3700,0.246227
3.3800,0.307465
3.3900,0.389155
3.4000,0.498783
3.4100,0.646752
3.4200,0.847532
3.4300,1.121252
3.4400,1.495887
3.4500,2.010246
3.4600,2.717990
3.4700,3.692987
3.4800,5.036322
3.4900,6.885306
3.5000,9.424778
3.5100,12.900870
3.5200,17.637165
3.5300,24.052736
3.5400,32.680926
3.5500,44.186846
3.5600,59.380443
3.5700,79.220780
3.5800,104.805950
3.5900,137.342272
3.6000,178.086331
3.6100,228.254703
3.6200,288.899161
3.6300,360.750041
3.6400,444.037220
3.6500,538.305986
3.6600,642.252676
3.6700,753.610439
3.6800,869.116725
3.6900,984.589304
3.7000,1095.126057
3.7100,1195.426112
3.7200,1280.208748
3.7300,1344.685830
3.7400,1385.028252
3.7500,1398.761071
3.7600,1385.028252
3.7700,1344.685830
3.7800,1280.208748
3.7900,1195.426112
3.8000,1095.126057
3.8100,984.589304
3.8200,869.116725
3.8300,753.610439
3.8400,642.252676
3.8500,538.305986
3.8600,444.037220
3.8700,360.750041
3.8800,288.899161
3.8900,228.254703
3.9000,178.086331
3.9100,137.342272
3.9200,104.805950
3.9300,79.220780
3.9400,59.380443
3.9500,44.186846
3.9600,32.680926
3.9700,24.052736
3.9800,17.637165
3.9900,12.900870
4.0000,9.424778
4.0100,6.885306
4.0200,5.036322
4.0300,3.692987
4.0400,2.717990
4.0500,2.010246
4.0600,1.495887
4.0700,1.121252
4.0800,0.847532
4.0900,0.646752
4.1000,0.498783
4.1100,0.389155
4.1200,0.307465
4.1300,0.246227
4.1400,0.200043
4.1500,0.165011
4.1600,0.138305
4.1700,0.117868
4.1800,0.102203
4.1900,0.090217
4.2000,0.081111
4.2100,0.074305
4.2200,0.069384
4.2300,0.066057
4.2400,0.064133
4.2500,0.063504
4.2600,0.064133
4.2700,0.066057
4.2800,0.069384
4.2900,0.074305
4.3000,0.081111
4.3100,0.090217
4.3200,0.102203
4.3300,0.117868
4.3400,0.138305
4.3500,0.165011
4.3600,0.200043
4.3700,0.246227
4.3800,0.307465
4.3900,0.389155
4.4000,0.498783
4.4100,0.646752
4.4200,0.847532
4.4300,1.121252
4.4400,1.495887
4.4500,2.010246
4.4600,2.717990
4.4700,3.692987
4.4800,5.036322
4.4900,6.885306
4.5000,9.424778
4.5100,12.900870
4.5200,17.637165
4.5300,24.052736
4.5400,32.680926
4.5500,44.186846
4.5600,59.380443
4.5700,79.220780
4.5800,104.805950
4.5900,137.342272
4.6000,178.086331
4.6100,228.254703
4.6200,288.899161
4.6300,360.750041
4.6400,444.037220
4.6500,538.305986
4.6600,642.252676
4.6700,753.610439
4.6800,869.116725
4.6900,984.589304
4.7000,1095.126057
4.7100,1195.426112
4.7200,1280.208748
4.7300,1344.685830
4.7400,1385.028252
4.7500,1398.761071
4.7600,1385.028252
4.7700,1344.685830
4.7800,1280.208748
4.7900,1195.426112
4.8000,1095.126057
4.8100,984.589304
4.8200,869.116725
4.8300,753.610439
4.8400,642.252676
4.8500,538.305986
4.8600,444.037220
4.8700,360.750041
4.8800,288.899161
4.8900,228.254703
4.9000,178.086331
4.9100,137.342272
4.9200,104.805950
4.9300,79.220780
4.9400,59.380443
4.9500,44.186846
4.9600,32.680926
4.9700,24.052736
4.9800,17.637165
4.9900,12.900870
5.0000,9.424778
5.0100,6.885306
5.0200,5.036322
5.0300,3.692987
5.0400,2.717990
5.0500,2.010246
5.0600,1.495887
5.0700,1.121252
5.0800,0.847532
5.0900,0.646752
5.1000,0.498783
5.1100,0.389155
5.1200,0.307465
5.1300,0.246227
5.1400,0.200043
5.1500,0.165011
5.1600,0.138305
5.1700,0.117868
5.1800,0.102203
5.1900,0.090217
5.2000,0.081111
5.2100,0.074305
5.2200,0.069384
5.2300,0.066057
5.2400,0.064133
5.2500,0.063504
5.2600,0.064133
5.2700,0.066057
5.2800,0.069384
5.2900,0.074305
5.3000,0.081111
5.3100,0.090217
5.3200,0.102203
5.3300,0.117868
5.3400,0.138305
5.3500,0.165011
5.3600,0.200043
5.3700,0.246227
5.3800,0.307465
5.3900,0.389155
5.4000,0.498783
5.4100,0.646752
5.4200,0.847532
5.4300,1.121252
5.4400,1.495887
5.4500,2.010246
5.4600,2.717990
5.4700,3.692987
5.4800,5.036322
5.4900,6.885306
5.5000,9.424778
5.5100,12.900870
5.5200,17.637165
5.5300,24.052736
5.5400,32.680926
5.5500,44.186846
5.5600,59.380443
5.5700,79.220780
5.5800,104.805950
5.5900,137.342272
5.6000,178.086331
5.6100,228.254703
5.6200,288.899161
5.6300,360.750041
5.6400,444.037220
5.6500,538.305986
5.6600,642.252676
5.6700,753.610439
5.6800,869.116725
5.6900,984.589304
5.7000,1095.126057
5.7100,1195.426112
5.7200,1280.208748
5.7300,1344.685830
5.7400,1385.028252
5.7500,1398.761071
5.7600,1385.028252
5.7700,1344.685830
5.7800,1280.208748
5.7900,1195.426112
5.8000,1095.126057
5.8100,984.589304
5.8200,869.116725
5.8300,753.610439
5.8400,642.252676
5.8500,538.305986
5.8600,444.037220
5.8700,360.750041
5.8800,288.899161
5.8900,228.254703
5.9000,178.086331
5.9100,137.342272
5.9200,104.805950
5.9300,79.220780
5.9400,59.380443
5.9500,44.186846
5.9600,32.680926
5.9700,24.052736
5.9800,17.637165
5.9900,12.900870
6.0000,9.424778
6.0100,6.885306
6.0200,5.036322
6.0300,3.692987
6.0400,2.717990
6.0500,2.010246
6.0600,1.495887
6.0700,1.121252
6.0800,0.847532
6.0900,0.646752
6.1000,0.498783
6.1100,0.389155
6.1200,0.307465
6.1300,0.246227
6.1400,0.200043
6.1500,0.165011
6.1600,0.138305
6.1700,0.117868
6.1800,0.102203
6.1900,0.090217
6.2000,0.081111
6.2100,0.074305
6.2200,0.069384
6.2300,0.066057
6.2400,0.064133
6.2500,0.063504
6.2600,0.064133
6.2700,0.066057
6.2800,0.069384
6.2900,0.074305
6.3000,0.081111
6.3100,0.090217
6.3200,0.102203
6.3300,0.117868
6.3400,0.138305
6.3500,0.165011
6.3600,0.200043
6.3700,0.246227
6.3800,0.307465
6.3900,0.389155
6.4000,0.498783
6.4100,0.646752
6.4200,0.847532
6.4300,1.121252
6.4400,1.495887
6.4500,2.010246
6.4600,2.717990
6.4700,3.692987
6.4800,5.036322
6.4900,6.885306
6.5000,9.424778
6.5100,12.900870
6.5200,17.637165
6.5300,24.052736
6.5400,32.680926
6.5500,44.186846
6.5600,59.380443
6.5700,79.220780
6.5800,104.805950
6.5900,137.342272
6.6000,178.086331
6.6100,228.254703
6.6200,288.899161
6.6300,360.750041
6.6400,444.037220
6.6500,538.305986
6.6600,642.252676
6.6700,753.610439
6.6800,869.116725
6.6900,984.589304
6.7000,1095.126057
6.7100,1195.426112
6.7200,1280.208748
6.7300,1344.685830
6.7400,1385.028252
6.7500,1398.761071
6.7600,1385.028252
6.7700,1344.685830
6.7800,1280.208748
6.7900,1195.426112
6.8000,1095.126057
6.8100,984.589304
6.8200,869.116725
6.8300,753.610439
6.8400,642.252676
6.8500,538.305986
6.8600,444.037220
6.8700,360.750041
6.8800,288.899161
6.8900,228.254703
6.9000,178.086331
6.9100,137.342272
6.9200,104.805950
6.9300,79.220780
6.9400,59.380443
6.9500,44.186846
6.9600,32.680926
6.9700,24.052736
6.9800,17.637165
6.9900,12.900870
7.0000,9.424778
7.0100,6.885306
7.0200,5.036322
7.0300,3.692987
7.0400,2.717990
7.0500,2.010246
7.0600,1.495887
7.0700,1.121252
7.0800,0.847532
7.0900,0.646752
7.1000,0.498783
7.1100,0.389155
7.1200,0.307465
7.1300,0.246227
7.1400,0.200043
7.1500,0.165011
7.1600,0.138305
7.1700,0.117868
7.1800,0.102203
7.1900,0.090217
7.2000,0.081111
7.2100,0.074305
7.2200,0.069384
7.2300,0.066057
7.2400,0.064133
7.2500,0.063504
7.2600,0.064133
7.2700,0.066057
7.2800,0.069384
7.2900,0.074305
7.3000,0.081111
7.3100,0.090217
7.3200,0.102203
7.3300,0.117868
7.3400,0.138305
7.3500,0.165011
7.3600,0.200043
7.3700,0.246227
7.3800,0.307465
7.3900,0.389155
7.4000,0.498783
7.4100,0.646752
7.4200,0.847532
7.4300,1.121252
7.4400,1.495887
7.4500,2.010246
7.4600,2.717990
7.4700,3.692987
7.4800,5.036322
7.4900,6.885306
7.5000,9.424778
7.5100,12.900870
7.5200,17.637165
7.5300,24.052736
7.5400,32.680926
7.5500,44.186846
7.5600,59.380443
7.5700,79.220780
7.5800,104.805950
7.5900,137.342272
7.6000,178.086331
7.6100,228.254703
7.6200,288.899161
7.6300,360.750041
7.6400,444.037220
7.6500,538.305986
7.6600,642.252676
7.6700,753.610439
7.6800,869.116725
7.6900,984.589304
7.7000,1095.126057
7.7100,1195.426112
7.7200,1280.208748
7.7300,1344.685830
7.7400,1385.028252
7.7500,1398.761071
7.7600,1385.028252
7.7700,1344.685830
7.7800,1280.208748
7.7900,1195.426112
7.8000,1095.126057
7.8100,984.589304
7.8200,869.116725
7.8300,753.610439
7.8400,642.252676
7.8500,538.305986
7.8600,444.037220
7.8700,360.750041
7.8800,288.899161
7.8900,228.254703
7.9000,178.086331
7.9100,137.342272
7.9200,104.805950
7.9300,79.220780
7.9400,59.380443
7.9500,44.186846
7.9600,32.680926
7.9700,24.052736
7.9800,17.637165
7.9900,12.900870
8.0000,9.424778
8.0100,6.885306
8.0200,5.036322
8.0300,3.692987
8.0400,2.717990
8.0500,2.010246
8.0600,1.495887
8.0700,1.121252
8.0800,0.847532
8.0900,0.646752
8.1000,0.498783
8.1100,0.389155
8.1200,0.307465
8.1300,0.246227
8.1400,0.200043
8.1500,0.165011
8.1600,0.138305
8.1700,0.117868
8.1800,0.102203
8.1900,0.090217
8.2000,0.081111
8.2100,0.074305
8.2200,0.069384
8.2300,0.066057
8.2400,0.064133
8.2500,0.063504
8.2600,0.064133
8.2700,0.066057
8.2800,0.069384
8.2900,0.074305
8.3000,0.081111
8.3100,0.090217
8.3200,0.102203
8.3300,0.117868
8.3400,0.138305
8.3500,0.165011
8.3600,0.200043
8.3700,0.246227
8.3800,0.307465
8.3900,0.389155
8.4000,0.498783
8.4100,0.646752
8.4200,0.847532
8.4300,1.121252
8.4400,1.495887
8.4500,2.010246
8.4600,2.717990
8.4700,3.692987
8.4800,5.036322
8.4900,6.885306
8.5000,9.424778
8.5100,12.900870
8.5200,17.637165
8.5300,24.052736
8.5400,32.680926
8.5500,44.186846
8.5600,59.380443
8.5700,79.220780
8.5800,104.805950
8.5900,137.342272
8.6000,178.086331
8.6100,228.254703
8.6200,288.899161
8.6300,360.750041
8.6400,444.037220
8.6500,538.305986
8.6600,642.252676
8.6700,753.610439
8.6800,869.116725
8.6900,984.589304
8.7000,1095.126057
8.7100,1195.426112
8.7200,1280.208748
8.7300,1344.685830
8.7400,1385.028252
8.7500,1398.761071
8.7600,1385.028252
8.7700,1344.685830
8.7800,1280.208748
8.7900,1195.426112
8.8000,1095.126057
8.8100,984.589304
8.8200,869.116725
8.8300,753.610439
8.8400,642.252676
8.8500,538.305986
8.8600,444.037220
8.8700,360.750041
8.8800,288.899161
8.8900,228.254703
8.9000,178.086331
8.9100,137.342272
8.9200,104.805950
8.9300,79.220780
8.9400,59.380443
8.9500,44.186846
8.9600,32.680926
8.9700,24.052736
8.9800,17.637165
8.9900,12.900870
9.0000,9.424778
9.0100,6.885306
9.0200,5.036322
9.0300,3.692987
9.0400,2.717990
9.0500,2.010246
9.0600,1.495887
9.0700,1.121252
9.0800,0.847532
9.0900,0.646752
9.1000,0.498783
9.1100,0.389155
9.1200,0.307465
9.1300,0.246227
9.1400,0.200043
9.1500,0.165011
9.1600,0.138305
9.1700,0.117868
9.1800,0.102203
9.1900,0.090217
9.2000,0.081111
9.2100,0.074305
9.2200,0.069384
9.2300,0.066057
9.2400,0.064133
9.2500,0.063504
9.2600,0.064133
9.2700,0.066057
9.2800,0.069384
9.2900,0.074305
9.3000,0.081111
9.3100,0.090217
9.3200,0.102203
9.3300,0.117868
9.3400,0.138305
9.3500,0.165011
9.3600,0.200043
9.3700,0.246227
9.3800,0.307465
9.3900,0.389155
9.4000,0.498783
9.4100,0.646752
9.4200,0.847532
9.4300,1.121252
9.4400,1.495887
9.4500,2.010246
9.4600,2.717990
9.4700,3.692987
9.4800,5.036322
9.4900,6.885306
9.5000,9.424778
9.5100,12.900870
9.5200,17.637165
9.5300,24.052736
9.5400,32.680926
9.5500,44.186846
9.5600,59.380443
9.5700,79.220780
9.5800,104.805950
9.5900,137.342272
9.6000,178.086331
9.6100,228.254703
9.6200,288.899161
9.6300,360.750041
9.6400,444.037220
9.6500,538.305986
9.6600,642.252676
9.6700,753.610439
9.6800,869.116725
9.6900,984.589304
9.7000,1095.126057
9.7100,1195.426112
9.7200,1280.208748
9.7300,1344.685830
9.7400,1385.028252
9.7500,1398.761071
9.7600,1385.028252
9.7700,1344.685830
9.7800,1280.208748
9.7900,1195.426112
9.8000,1095.126057
9.8100,984.589304
9.8200,869.116725
9.8300,753.610439
9.8400,642.252676
9.8500,538.305986
9.8600,444.037220
9.8700,360.750041
9.8800,288.899161
9.8900,228.254703
9.9000,178.086331
9.9100,137.342272
9.9200,104.805950
9.9300,79.220780
9.9400,59.380443
9.9500,44.186846
9.9600,32.680926
9.9700,24.052736
9.9800,17.637165
9.9900,12.900870
10.0000,9.424778
10.0100,6.885306
10.0200,5.036322
10.0300,3.692987
10.0400,2.717990
10.0500,2.010246
10.0600,1.495887
10.0700,1.121252
10.0800,0.847532
10.0900,0.646752
10.1000,0.498783
10.1100,0.389155
10.1200,0.307465
10.1300,0.246227
10.1400,0.200043
10.1500,0.165011
10.1600,0.138305
10.1700,0.117868
10.1800,0.102203
10.1900,0.090217
10.2000,0.081111
10.2100,0.074305
10.2200,0.069384
10.2300,0.066057
10.2400,0.064133
10.2500,0.063504
10.2600,0.064133
10.2700,0.066057
10.2800,0.069384
10.2900,0.074305
10.3000,0.081111
10.3100,0.090217
10.3200,0.102203
10.3300,0.117868
10.3400,0.138305
10.3500,0.165011
10.3600,0.200043
10.3700,0.246227
10.3800,0.307465
10.3900,0.389155
10.4000,0.498783
10.4100,0.646752
10.4200,0.847532
10.4300,1.121252
10.4400,1.495887
10.4500,2.010246
10.4600,2.717990
10.4700,3.692987
10.4800,5.036322
10.4900,6.885306
10.5000,9.424778
10.5100,12.900870
10.5200,17.637165
10.5300,24.052736
10.5400,32.680926
10.5500,44.186846
10.5600,59.380443
10.5700,79.220780
10.5800,104.805950
10.5900,137.342272
10.6000,178.086331
10.6100,228.254703
10.6200,288.899161
10.6300,360.750041
10.6400,444.037220
10.6500,538.305986
10.6600,642.252676
10.6700,753.610439
10.6800,869.116725
10.6900,984.589304
10.7000,1095.126057
10.7100,1195.426112
10.7200,1280.208748
10.7300,1344.685830
10.7400,1385.028252
10.7500,1398.761071
10.7600,1385.028252
10.7700,1344.685830
10.7800,1280.208748
10.7900,1195.426112
10.8000,1095.126057
10.8100,984.589304
10.8200,869.116725
10.8300,753.610439
10.8400,642.252676
10.8500,538.305986
10.8600,444.037220
10.8700,360.750041
10.8800,288.899161
10.8900,228.254703
10.9000,178.086331
10.9100,137.342272
10.9200,104.805950
10.9300,79.220780
10.9400,59.380443
10.9500,44.186846
10.9600,32.680926
10.9700,24.052736
10.9800,17.637165
10.9900,12.900870
11.0000,9.424778
11.0100,6.885306
11.0200,5.036322
11.0300,3.692987
11.0400,2.717990
11.0500,2.010246
11.0600,1.495887
11.0700,1.121252
11.0800,0.847532
11.0900,0.646752
11.1000,0.498783
11.1100,0.389155
11.1200,0.307465
11.1300,0.246227
11.1400,0.200043
11.1500,0.165011
11.1600,0.138305
11.1700,0.117868
11.1800,0.102203
11.1900,0.090217
11.2000,0.081111
11.2100,0.074305
11.2200,0.069384
11.2300,0.066057
11.2400,0.064133
11.2500,0.063504
11.2600,0.064133
11.2700,0.066057
11.2800,0.069384
11.2900,0.074305
11.3000,0.081111
11.3100,0.090217
11.3200,0.102203
11.3300,0.117868
11.3400,0.138305
11.3500,0.165011
11.3600,0.200043
11.3700,0.246227
11.3800,0.307465
11.3900,0.389155
11.4000,0.498783
11.4100,0.646752
11.4200,0.847532
11.4300,1.121252
11.4400,1.495887
11.4500,2.010246
11.4600,2.717990
11.4700,3.692987
11.4800,5.036322
11.4900,6.885306
11.5000,9.424778
11.5100,12.900870
11.5200,17.637165
11.5300,24.052736
11.5400,32.680926
11.5500,44.186846
11.5600,59.380443
11.5700,79.220780
11.5800,104.805950
11.5900,137.342272
11.6000,178.086331
11.6100,228.254703
11.6200,288.899161
11.6300,360.750041
11.6400,444.037220
11.6500,538.305986
11.6600,642.252676
11.6700,753.610439
11.6800,869.116725
11.6900,984.589304
11.7000,1095.126057
11.7100,1195.426112
11.7200,1280.208748
11.7300,1344.685830
11.7400,1385.028252
11.7500,1398.761071
11.7600,1385.028252
11.7700,1344.685830
11.7800,1280.208748
11.7900,1195.426112
11.8000,1095.126057
11.8100,984.589304
11.8200,869.116725
11.8300,753.610439
11.8400,642.252676
11.8500,538.305986
11.8600,444.037220
11.8700,360.750041
11.8800,288.899161
11.8900,228.254703
11.9000,178.086331
11.9100,137.342272
11.9200,104.805950
11.9300,79.220780
11.9400,59.380443
11.9500,44.186846
11.9600,32.680926
11.9700,24.052736
11.9800,17.637165
11.9900,12.900870
12.0000,9.424778
12.0100,6.885306
12.0200,5.036322
12.0300,3.692987
12.0400,2.717990
12.0500,2.010246
12.0600,1.495887
12.0700,1.121252
12.0800,0.847532
12.0900,0.646752
12.1000,0.498783
12.1100,0.389155
12.1200,0.307465
12.1300,0.246227
12.1400,0.200043
12.1500,0.165011
12.1600,0.138305
12.1700,0.117868
12.1800,0.102203
12.1900,0.090217
12.2000,0.081111
12.2100,0.074305
12.2200,0.069384
12.2300,0.066057
12.2400,0.064133
12.2500,0.063504
12.2600,0.064133
12.2700,0.066057
12.2800,0.069384
12.2900,0.074305
12.3000,0.081111
12.3100,0.090217
12.3200,0.102203
12.3300,0.117868
12.3400,0.138305
12.3500,0.165011
12.3600,0.200043
12.3700,0.246227
12.3800,0.307465
12.3900,0.389155
12.4000,0.498783
12.4100,0.646752
12.4200,0.847532
12.4300,1.121252
12.4400,1.495887
12.4500,2.010246
12.4600,2.717990
12.4700,3.692987
12.4800,5.036322
12.4900,6.885306
12.5000,9.424778
12.5100,12.900870
12.5200,17.637165
12.5300,24.052736
12.5400,32.680926
12.5500,44.186846
12.5600,59.380443
12.5700,79.220780
12.5800,104.805950
12.5900,137.342272
12.6000,178.086331
12.6100,228.254703
12.6200,288.899161
12.6300,360.750041
12.6400,444.037220
12.6500,538.305986
12.6600,642.252676
12.6700,753.610439
12.6800,869.116725
12.6900,984.589304
12.7000,1095.126057
12.7100,1195.426112
12.7200,1280.208748
12.7300,1344.685830
12.7400,1385.028252
12.7500,1398.761071
12.7600,1385.028252
12.7700,1344.685830
12.7800,1280.208748
12.7900,1195.426112
12.8000,1095.126057
12.8100,984.589304
12.8200,869.116725
12.8300,753.610439
12.8400,642.252676
12.8500,538.305986
12.8600,444.037220
12.8700,360.750041
12.8800,288.899161
12.8900,228.254703
12.9000,178.086331
12.9100,137.342272
12.9200,104.805950
12.9300,79.220780
12.9400,59.380443
12.9500,44.186846
12.9600,32.680926
12.9700,24.052736
12.9800,17.637165
12.9900,12.900870
13.0000,9.424778
13.0100,6.885306
13.0200,5.036322
13.0300,3.692987
13.0400,2.717990
13.0500,2.010246
13.0600,1.495887
13.0700,1.121252
13.0800,0.847532
13.0900,0.646752
13.1000,0.498783
13.1100,0.389155
13.1200,0.307465
13.1300,0.246227
13.1400,0.200043
13.1500,0.165011
13.1600,0.138305
13.1700,0.117868
13.1800,0.102203
13.1900,0.090217
13.2000,0.081111
13.2100,0.074305
13.2200,0.069384
13.2300,0.066057
13.2400,0.064133
13.2500,0.063504
13.2600,0.064133
13.2700,0.066057
13.2800,0.069384
13.2900,0.074305
13.3000,0.081111
13.3100,0.090217
13.3200,0.102203
13.3300,0.117868
13.3400,0.138305
13.3500,0.165011
13.3600,0.200043
13.3700,0.246227
13.3800,0.307465
13.3900,0.389155
13.4000,0.498783
13.4100,0.646752
13.4200,0.847532
13.4300,1.121252
13.4400,1.495887
13.4500,2.010246
13.4600,2.717990
13.4700,3.692987
13.4800,5.036322
13.4900,6.885306
13.5000,9.424778
13.5100,12.900870
13.5200,17.637165
13.5300,24.052736
13.5400,32.680926
13.5500,44.186846
13.5600,59.380443
13.5700,79.220780
13.5800,104.805950
13.5900,137.342272
13.6000,178.086331
13.6100,228.254703
13.6200,288.899161
13.6300,360.750041
13.6400,444.037220
13.6500,538.305986
13.6600,642.252676
13.6700,753.610439
13.6800,869.116725
13.6900,984.589304
13.7000,1095.126057
13.7100,1195.426112
13.7200,1280.208748
13.7300,1344.685830
13.7400,1385.028252
13.7500,1398.761071
13.7600,1385.028252
13.7700,1344.685830
13.7800,1280.208748
13.7900,1195.426112
